officeCarp,livingCarp,kitchenCarp,hallwayCarp,bedroomCarp,bathroomCarp,Activity,Time
0,0,0,1,0,0,work,2020-03-01 17:30:11
0,0,0,0,0,0,other,2020-03-01 17:30:23
0,0,0,0,0,1,other,2020-03-01 17:30:25
0,0,0,1,0,0,other,2020-03-01 17:35:39
0,0,0,0,1,0,personal,2020-03-01 17:35:49
0,0,0,0,0,0,personal,2020-03-01 17:37:53
0,0,0,1,0,0,personal,2020-03-01 17:37:54
0,0,1,0,0,0,personal,2020-03-01 17:37:57
0,0,0,0,0,0,personal,2020-03-01 17:40:14
0,0,1,0,0,0,personal,2020-03-01 17:40:15
0,0,0,1,0,0,personal,2020-03-01 17:52:24
0,1,0,1,0,0,personal,2020-03-01 17:52:25
0,1,0,0,0,0,personal,2020-03-01 17:52:28
0,1,0,1,0,0,personal,2020-03-01 18:07:35
0,0,0,1,0,0,personal,2020-03-01 18:07:36
0,0,1,0,0,0,personal,2020-03-01 18:07:37
0,0,0,1,0,0,personal,2020-03-01 18:32:54
0,1,0,0,0,0,personal,2020-03-01 18:32:55
0,1,0,1,0,0,personal,2020-03-01 18:44:59
0,0,0,0,0,0,leisure,2020-03-01 18:45:00
0,0,0,0,0,1,leisure,2020-03-01 18:45:01
0,0,0,1,0,0,leisure,2020-03-01 18:48:41
0,1,0,0,0,0,personal,2020-03-01 18:48:42
0,1,0,1,0,0,personal,2020-03-01 19:48:59
0,0,0,1,0,0,leisure,2020-03-01 19:49:00
1,0,0,1,0,0,leisure,2020-03-01 19:49:02
1,0,0,0,0,0,leisure,2020-03-01 19:49:03
0,1,0,1,0,0,leisure,2020-03-01 20:29:28
0,0,0,1,0,0,leisure,2020-03-01 20:29:29
0,0,0,0,0,1,leisure,2020-03-01 20:29:30
0,0,0,0,0,0,leisure,2020-03-01 20:39:42
0,0,0,1,0,0,personal,2020-03-01 20:39:43
0,1,0,0,0,0,personal,2020-03-01 20:39:44
0,0,0,0,0,0,personal,2020-03-01 20:39:49
0,1,0,0,0,0,personal,2020-03-01 21:40:08
0,0,0,1,0,0,leisure,2020-03-01 21:40:10
0,0,1,0,0,0,leisure,2020-03-01 21:40:11
0,0,0,1,0,0,leisure,2020-03-01 21:43:51
0,0,0,0,0,1,eat,2020-03-01 21:43:54
0,0,0,0,0,0,personal,2020-03-01 21:59:18
0,0,0,1,0,0,personal,2020-03-01 21:59:20
1,0,0,0,0,0,personal,2020-03-01 21:59:22
0,0,0,1,0,0,personal,2020-03-01 21:59:28
0,1,0,1,0,0,personal,2020-03-01 21:59:43
0,1,0,0,0,0,personal,2020-03-01 21:59:44
0,0,0,1,0,0,personal,2020-03-01 21:59:54
0,0,0,0,0,0,personal,2020-03-01 21:59:56
0,0,0,0,1,0,personal,2020-03-01 21:59:57
0,0,0,0,0,1,personal,2020-03-01 22:05:14
0,0,0,0,0,0,personal,2020-03-01 22:07:27
0,0,0,0,1,0,personal,2020-03-01 22:07:28
0,0,0,0,0,1,personal,2020-03-02 01:09:08
0,0,0,0,0,0,sleep,2020-03-02 01:10:19
0,0,0,0,1,0,sleep,2020-03-02 01:10:21
