officeCarp,livingCarp,kitchenCarp,hallwayCarp,bedroomCarp,bathroomCarp,Activity,Time
0,0,0,1,0,0,work,2020-03-03 18:01:07
1,0,0,0,0,0,work,2020-03-03 18:01:18
1,0,0,1,0,0,work,2020-03-03 18:01:29
0,0,0,1,0,0,work,2020-03-03 18:01:30
0,0,0,0,0,0,work,2020-03-03 18:01:33
0,0,0,0,0,1,work,2020-03-03 18:01:34
0,0,0,1,0,0,work,2020-03-03 18:11:43
0,0,0,0,0,0,work,2020-03-03 18:11:44
0,0,0,0,1,0,work,2020-03-03 18:11:46
0,0,0,0,0,0,work,2020-03-03 18:11:55
0,0,0,1,0,0,work,2020-03-03 18:11:56
0,0,1,1,0,0,work,2020-03-03 18:11:58
0,0,1,0,0,0,work,2020-03-03 18:11:59
0,0,0,1,0,0,work,2020-03-03 18:54:33
0,1,0,1,0,0,eat,2020-03-03 18:54:38
0,1,0,0,0,0,leisure,2020-03-03 18:54:39
0,1,0,1,0,0,leisure,2020-03-03 20:54:53
0,0,0,1,0,0,leisure,2020-03-03 20:54:54
0,0,1,1,0,0,leisure,2020-03-03 20:54:55
0,0,1,0,0,0,leisure,2020-03-03 20:54:56
0,0,0,1,0,0,leisure,2020-03-03 21:05:43
0,1,0,1,0,0,leisure,2020-03-03 21:05:44
0,1,0,0,0,0,leisure,2020-03-03 21:05:45
0,1,0,1,0,0,leisure,2020-03-03 21:05:49
0,0,0,1,0,0,leisure,2020-03-03 21:05:50
0,0,0,0,0,1,leisure,2020-03-03 21:05:51
0,0,0,0,0,0,leisure,2020-03-03 21:06:56
0,0,0,1,0,0,leisure,2020-03-03 21:06:58
1,0,0,0,0,0,leisure,2020-03-03 21:07:01
0,0,0,1,0,0,leisure,2020-03-03 22:07:17
0,0,0,0,0,0,leisure,2020-03-03 22:07:19
0,0,0,0,0,1,leisure,2020-03-03 22:07:20
0,0,0,1,0,0,leisure,2020-03-03 22:22:21
0,0,0,0,0,0,leisure,2020-03-03 22:22:22
0,0,0,0,1,0,leisure,2020-03-03 22:22:23
