officeCarp,livingCarp,kitchenCarp,hallwayCarp,bedroomCarp,bathroomCarp,Activity,Time
0,0,0,0,1,0,sleep,2020-03-02 07:30:02
0,0,0,0,0,0,sleep,2020-03-02 07:32:23
0,0,0,0,0,1,sleep,2020-03-02 07:32:25
0,0,0,0,0,0,sleep,2020-03-02 07:39:19
0,0,0,1,0,0,sleep,2020-03-02 07:39:20
0,0,0,0,1,0,sleep,2020-03-02 07:39:21
0,0,0,0,0,0,sleep,2020-03-02 07:41:35
0,0,0,1,0,0,sleep,2020-03-02 07:41:37
0,0,0,0,0,0,sleep,2020-03-02 07:41:40
0,0,1,0,0,0,sleep,2020-03-02 07:41:41
0,0,0,1,0,0,sleep,2020-03-02 08:04:40
1,0,0,0,0,0,eat,2020-03-02 08:04:42
1,0,0,1,0,0,work,2020-03-02 08:04:57
0,0,0,1,0,0,work,2020-03-02 08:04:58
0,0,0,0,0,0,work,2020-03-02 08:05:03
