officeCarp,livingCarp,kitchenCarp,hallwayCarp,bedroomCarp,bathroomCarp,Activity,Time
0,0,0,1,0,0,work,2020-03-05 17:30:09
0,0,0,0,0,0,work,2020-03-05 17:30:20
0,0,0,0,0,1,work,2020-03-05 17:30:22
0,0,0,1,0,0,work,2020-03-05 17:31:06
0,0,1,1,0,0,work,2020-03-05 17:31:10
0,0,1,0,0,0,work,2020-03-05 17:31:11
0,0,0,1,0,0,work,2020-03-05 17:41:22
1,0,0,0,0,0,eat,2020-03-05 17:41:25
0,0,1,1,0,0,eat,2020-03-05 17:41:34
0,0,1,0,0,0,leisure,2020-03-05 17:41:35
0,0,1,1,0,0,leisure,2020-03-05 18:11:41
0,0,0,1,0,0,leisure,2020-03-05 18:11:42
0,1,0,1,0,0,leisure,2020-03-05 18:11:43
0,1,0,0,0,0,leisure,2020-03-05 18:11:46
0,0,0,0,0,0,leisure,2020-03-05 18:11:52
0,1,0,0,0,0,leisure,2020-03-05 18:11:53
0,0,0,1,0,0,leisure,2020-03-05 19:42:06
0,0,0,0,0,1,leisure,2020-03-05 19:42:08
0,0,0,0,0,0,leisure,2020-03-05 19:46:00
0,0,0,0,1,0,leisure,2020-03-05 19:46:02
0,0,0,0,0,0,leisure,2020-03-05 19:51:30
0,0,0,0,0,1,leisure,2020-03-05 19:51:31
0,0,0,0,0,0,leisure,2020-03-05 19:55:17
0,0,0,1,0,0,leisure,2020-03-05 19:55:24
0,0,0,0,0,0,leisure,2020-03-05 19:55:38
