officeCarp,livingCarp,kitchenCarp,hallwayCarp,bedroomCarp,bathroomCarp,Activity,Time
0,0,0,1,0,0,work,2020-03-04 20:30:20
0,0,0,0,0,0,work,2020-03-04 20:30:31
0,0,0,0,0,1,personal,2020-03-04 20:30:34
0,0,0,0,0,0,personal,2020-03-04 20:39:04
0,0,0,1,0,0,personal,2020-03-04 20:39:05
0,0,0,0,0,0,personal,2020-03-04 20:39:10
0,0,0,1,0,0,personal,2020-03-04 20:39:11
0,0,1,0,0,0,personal,2020-03-04 20:39:13
0,0,0,1,0,0,personal,2020-03-04 20:40:21
1,0,0,0,0,0,personal,2020-03-04 20:40:22
0,0,0,1,0,0,personal,2020-03-04 20:40:34
0,1,0,1,0,0,personal,2020-03-04 20:40:35
0,1,0,0,0,0,personal,2020-03-04 20:40:38
0,1,0,1,0,0,personal,2020-03-04 22:10:48
0,0,0,1,0,0,personal,2020-03-04 22:10:50
1,0,0,1,0,0,personal,2020-03-04 22:10:51
1,0,0,0,0,0,personal,2020-03-04 22:10:52
0,0,0,1,0,0,personal,2020-03-04 22:11:00
0,1,0,1,0,0,personal,2020-03-04 22:11:01
0,1,0,0,0,0,personal,2020-03-04 22:11:02
0,1,0,1,0,0,personal,2020-03-04 23:11:10
0,0,0,0,0,0,personal,2020-03-04 23:11:11
0,0,0,0,0,1,personal,2020-03-04 23:11:12
0,0,0,1,0,0,personal,2020-03-04 23:28:53
0,0,0,0,0,0,leisure,2020-03-04 23:28:55
0,0,0,0,1,0,leisure,2020-03-04 23:28:56
