officeCarp,livingCarp,kitchenCarp,hallwayCarp,bedroomCarp,bathroomCarp,Activity,Time
0,0,0,0,1,0,sleep,2020-03-06 07:30:01
0,0,0,0,0,0,sleep,2020-03-06 08:00:17
0,0,0,0,0,1,personal,2020-03-06 08:00:20
0,0,0,0,0,0,personal,2020-03-06 08:11:19
0,0,0,0,1,0,personal,2020-03-06 08:11:20
0,0,0,0,0,0,personal,2020-03-06 08:13:12
0,0,0,1,0,0,personal,2020-03-06 08:13:13
0,0,1,0,0,0,personal,2020-03-06 08:13:16
0,0,0,1,0,0,personal,2020-03-06 08:25:02
1,0,0,0,0,0,eat,2020-03-06 08:25:04
0,0,0,1,0,0,eat,2020-03-06 08:25:29
