officeCarp,livingCarp,kitchenCarp,hallwayCarp,bedroomCarp,bathroomCarp,Activity,Time
0,0,0,1,0,0,work,2020-03-02 18:30:10
0,0,0,0,0,0,work,2020-03-02 18:30:23
0,0,0,0,0,1,work,2020-03-02 18:30:25
0,0,0,0,0,0,work,2020-03-02 18:32:13
0,0,0,1,0,0,work,2020-03-02 18:32:14
0,0,1,1,0,0,work,2020-03-02 18:32:17
0,0,1,0,0,0,work,2020-03-02 18:32:18
0,0,0,0,0,0,work,2020-03-02 18:32:25
0,0,1,0,0,0,work,2020-03-02 18:52:28
0,0,0,1,0,0,work,2020-03-02 19:02:47
0,1,0,1,0,0,eat,2020-03-02 19:02:49
0,1,0,0,0,0,eat,2020-03-02 19:02:51
0,1,0,1,0,0,eat,2020-03-02 20:03:18
0,0,0,1,0,0,leisure,2020-03-02 20:03:19
0,0,0,0,0,1,leisure,2020-03-02 20:03:20
0,0,0,1,0,0,leisure,2020-03-02 20:06:59
0,1,0,0,0,0,personal,2020-03-02 20:07:00
0,0,0,0,0,0,personal,2020-03-02 20:07:04
0,1,0,0,0,0,personal,2020-03-02 20:07:07
0,1,0,1,0,0,personal,2020-03-02 20:37:20
0,0,0,1,0,0,personal,2020-03-02 20:37:21
1,0,0,0,0,0,personal,2020-03-02 20:37:23
1,0,0,1,0,0,leisure,2020-03-02 20:37:25
1,0,0,0,0,0,leisure,2020-03-02 20:37:26
0,0,0,1,0,0,leisure,2020-03-02 21:27:42
0,1,0,1,0,0,leisure,2020-03-02 21:27:43
0,0,0,1,0,0,leisure,2020-03-02 21:27:45
0,0,0,0,1,0,leisure,2020-03-02 21:27:49
0,0,0,0,0,0,leisure,2020-03-02 21:27:52
0,0,0,0,1,0,leisure,2020-03-02 21:27:53
0,0,0,0,0,0,leisure,2020-03-02 21:31:35
0,0,0,0,0,1,leisure,2020-03-02 21:31:36
0,0,0,1,0,0,leisure,2020-03-02 21:47:03
0,0,1,0,0,0,personal,2020-03-02 21:47:06
0,0,1,1,0,0,personal,2020-03-02 21:49:12
0,0,0,1,0,0,personal,2020-03-02 21:49:13
0,1,0,0,0,0,personal,2020-03-02 21:49:17
0,1,0,1,0,0,personal,2020-03-02 21:50:24
0,0,0,0,0,0,personal,2020-03-02 21:50:25
0,0,0,0,1,0,personal,2020-03-02 21:50:27
0,0,0,0,0,1,personal,2020-03-02 21:50:50
0,0,0,0,1,0,personal,2020-03-02 21:52:57
