officeCarp,livingCarp,kitchenCarp,hallwayCarp,bedroomCarp,bathroomCarp,Activity,Time
0,0,0,0,1,0,sleep,2020-03-03 07:30:02
0,0,0,0,0,0,sleep,2020-03-03 07:35:37
0,0,0,0,0,1,personal,2020-03-03 07:35:38
0,0,0,0,0,0,personal,2020-03-03 07:45:56
0,0,0,1,0,0,personal,2020-03-03 07:45:58
0,0,0,0,0,1,personal,2020-03-03 07:46:01
0,0,0,1,0,0,personal,2020-03-03 07:46:02
0,0,0,0,0,0,personal,2020-03-03 07:46:03
0,0,0,0,1,0,personal,2020-03-03 07:46:04
0,0,0,0,0,0,personal,2020-03-03 07:49:45
0,0,0,1,0,0,personal,2020-03-03 07:49:46
0,0,1,0,0,0,personal,2020-03-03 07:49:50
0,0,1,1,0,0,personal,2020-03-03 07:58:29
0,0,0,1,0,0,eat,2020-03-03 07:58:30
1,0,0,0,0,0,eat,2020-03-03 07:58:33
1,0,0,1,0,0,eat,2020-03-03 07:58:56
0,0,0,1,0,0,eat,2020-03-03 07:58:58
0,0,0,0,0,0,eat,2020-03-03 07:59:08
