officeCarp,livingCarp,kitchenCarp,hallwayCarp,bedroomCarp,bathroomCarp,Activity,Time
0,0,0,0,1,0,sleep,2020-03-01 07:30:02
0,0,0,0,0,0,sleep,2020-03-01 07:30:18
0,0,0,0,0,1,sleep,2020-03-01 07:30:21
0,0,0,0,0,0,sleep,2020-03-01 07:39:32
0,0,0,0,1,0,sleep,2020-03-01 07:39:36
0,0,0,0,0,0,sleep,2020-03-01 07:43:53
0,0,0,1,0,0,sleep,2020-03-01 07:43:54
0,0,1,0,0,0,sleep,2020-03-01 07:43:59
0,0,0,0,0,0,personal,2020-03-01 07:46:17
0,0,1,0,0,0,eat,2020-03-01 07:46:18
0,0,0,1,0,0,eat,2020-03-01 08:01:34
0,1,0,1,0,0,eat,2020-03-01 08:01:35
0,1,0,0,0,0,eat,2020-03-01 08:01:36
0,0,0,0,0,0,eat,2020-03-01 08:01:43
0,1,0,0,0,0,eat,2020-03-01 08:01:44
0,0,0,1,0,0,eat,2020-03-01 09:14:34
0,0,0,0,0,0,leisure,2020-03-01 09:14:37
0,0,0,0,0,1,leisure,2020-03-01 09:14:38
0,0,0,1,0,0,leisure,2020-03-01 09:25:40
1,0,0,0,0,0,personal,2020-03-01 09:25:45
1,0,0,1,0,0,personal,2020-03-01 09:25:48
1,0,0,0,0,0,personal,2020-03-01 09:25:49
0,0,0,0,0,0,personal,2020-03-01 09:25:57
1,0,0,0,0,0,personal,2020-03-01 09:25:58
0,0,0,1,0,0,personal,2020-03-01 11:31:20
0,0,0,0,0,0,work,2020-03-01 11:31:33
0,0,0,0,0,1,work,2020-03-01 11:31:34
0,0,0,0,0,0,work,2020-03-01 11:35:50
0,0,0,1,0,0,personal,2020-03-01 11:35:51
0,0,0,0,0,0,personal,2020-03-01 11:35:59
