officeCarp,livingCarp,kitchenCarp,bedroomCarp,bathroomCarp,Activity,Time
0,0,0,1,0,other,2020-03-04 07:22:01
0,0,0,0,0,other,2020-03-04 07:22:16
0,1,0,0,0,other,2020-03-04 07:22:19
0,0,0,0,0,other,2020-03-04 07:22:30
0,1,0,0,0,other,2020-03-04 07:22:38
0,0,0,0,0,other,2020-03-04 07:33:01
0,0,1,0,0,eat,2020-03-04 07:33:04
0,0,0,0,0,eat,2020-03-04 07:37:24
0,0,1,0,0,eat,2020-03-04 07:37:27
0,0,0,0,0,eat,2020-03-04 07:37:29
