officeCarp,livingCarp,kitchenCarp,bedroomCarp,bathroomCarp,Activity,Time,timestamp
0,0,0,0,0,leisure,2020-03-04 07:55:12,2020-03-03 05:37:04
0,1,0,0,0,personal,2020-03-04 07:55:13,2020-03-03 05:37:05
0,0,0,0,0,personal,2020-03-04 08:26:43,2020-03-03 05:37:06
0,1,0,0,0,leisure,2020-03-04 08:26:44,2020-03-03 05:37:07
0,0,0,0,0,leisure,2020-03-04 08:26:45,2020-03-03 05:37:08
0,0,1,0,0,leisure,2020-03-04 08:26:47,2020-03-03 05:37:09
0,0,0,0,0,leisure,2020-03-04 08:26:56,2020-03-03 05:37:10
1,0,0,0,0,leisure,2020-03-04 08:26:57,2020-03-03 05:37:11
0,0,0,0,0,leisure,2020-03-04 08:57:04,2020-03-03 05:37:12
0,1,0,0,0,leisure,2020-03-04 08:57:05,2020-03-03 05:37:13
0,0,0,0,0,leisure,2020-03-04 09:47:11,2020-03-03 05:37:14
0,0,0,0,1,leisure,2020-03-04 09:47:12,2020-03-03 05:37:15
0,0,0,1,0,leisure,2020-03-04 09:47:13,2020-03-03 05:37:16
0,0,0,1,0,other,2020-03-03 07:55:30,2020-03-04 07:51:07
0,0,0,0,0,other,2020-03-03 07:57:43,2020-03-04 07:51:08
0,0,1,0,0,other,2020-03-03 07:57:49,2020-03-04 07:51:09
0,0,0,0,0,other,2020-03-03 08:00:04,2020-03-04 07:51:10
0,0,0,0,1,eat,2020-03-03 08:00:11,2020-03-04 07:51:11
0,1,0,0,0,other,2020-03-04 05:32:20,2020-03-04 05:29:31
0,0,0,0,0,other,2020-03-04 05:32:24,2020-03-04 05:29:32
0,0,0,1,0,other,2020-03-04 05:32:27,2020-03-04 05:29:33
0,0,0,0,0,other,2020-03-04 05:32:32,2020-03-04 05:29:34
0,0,0,1,0,sleep,2020-03-04 05:32:33,2020-03-04 05:29:35
0,0,0,0,1,sleep,2020-03-04 06:12:42,2020-03-04 05:29:36
0,0,0,0,0,sleep,2020-03-04 06:16:21,2020-03-04 05:29:37
0,1,0,0,0,sleep,2020-03-04 06:16:22,2020-03-04 05:29:38
0,0,0,0,0,sleep,2020-03-04 06:16:25,2020-03-04 05:29:39
0,0,1,0,0,eat,2020-03-04 06:16:27,2020-03-04 05:29:40
0,0,0,0,0,eat,2020-03-04 06:33:17,2020-03-04 05:29:41
1,0,0,0,0,eat,2020-03-04 06:33:21,2020-03-04 05:29:42
